name,mass,distance
HAT-P-55 b,184.97706,511.3880000
HAT-P-56 b,734.18730,320.6390000
HAT-P-57 b,448.14030,279.8600000
HAT-P-58 b,118.23217,515.5900000
HAT-P-59 b,489.45575,265.4710000
HAT-P-6 b,419.53560,275.3580000
HAT-P-60 b,182.43351,233.2200000
HAT-P-61 b,335.94463,338.8400000
HAT-P-62 b,241.86742,348.8150000
HAT-P-63 b,195.14664,4483.0500000
HAT-P-64 b,184.34048,651.8970000
HAT-P-65 b,167.49641,738.5190000
HAT-P-66 b,248.86089,935.4560000
HAT-P-67 b,108.06220,371.6860000
HAT-P-68 b,230.10892,202.1520000
HAT-P-69 b,1137.83140,341.2630000
HAT-P-7 b,584.80720,341.0790000
HAT-P-70 b,2154.88740,330.7390000
HAT-P-8 b,406.82240,211.5530000
HAT-P-9 b,238.05467,455.2030000
HATS-1 b,589.55000,283.9710000
HATS-10 b,167.17858,534.8890000
HATS-11 b,263.79890,944.6030000
HATS-12 b,759.61370,746.1380000
HATS-13 b,172.58169,421.8550000
HATS-14 b,340.39593,513.0110000
HATS-15 b,689.69110,1139.5500000
HATS-16 b,1039.30410,757.0440000
HATS-17 b,425.25654,400.3310000
HATS-18 b,629.14449,624.3680000
HATS-2 b,427.46300,341.9250000
HATS-22 b,870.85420,229.5180000
HATS-23 b,467.21010,639.0040000
HATS-24 b,718.29580,494.1820000
HATS-25 b,194.82979,471.1580000
HATS-26 b,206.58950,861.8430000
HATS-27 b,168.44990,816.9880000
HATS-28 b,213.58176,535.3830000
HATS-29 b,207.54299,353.8910000
HATS-3 b,340.38200,411.2110000
HATS-30 b,224.38798,342.1400000
HATS-31 b,279.69040,773.9740000
HATS-32 b,292.40360,745.1160000
HATS-33 b,378.85336,248.4600000
HATS-34 b,299.07803,508.8420000
HATS-35 b,388.38826,514.5550000
HATS-36 b,1022.14128,856.4360000
HATS-37 A b,31.46517,211.8960000
HATS-38 b,23.51942,343.5250000
HATS-39 b,200.23290,878.5210000
HATS-4 b,420.47100,416.4590000
HATS-40 b,505.34970,1342.2900000
HATS-41 b,3082.95100,737.6680000
HATS-42 b,597.52040,800.3770000
HATS-43 b,82.95363,362.2730000
HATS-44 b,177.98480,446.0350000
HATS-45 b,222.48100,772.1100000
HATS-46 b,54.98459,453.8080000
HATS-47 b,117.27927,300.6700000
HATS-48 A b,77.23269,263.6090000
HATS-49 b,112.19399,324.4130000
HATS-5 b,75.32300,246.3840000
HATS-50 b,123.95370,756.7420000
HATS-51 b,244.09344,389.5700000
HATS-52 b,711.93920,555.1340000
HATS-53 b,189.10885,585.7700000
HATS-54 b,239.32479,748.5850000
HATS-55 b,292.72143,609.8380000
HATS-56 b,191.33366,564.4090000
HATS-57 b,1000.21101,279.4850000
HATS-58 A b,327.36490,403.5910000
HATS-59 b,256.17098,642.8840000
HATS-59 c,4036.44100,642.8840000
HATS-6 b,101.38777,169.3180000
HATS-60 b,210.40346,486.4740000
HATS-61 b,1080.62200,679.7610000
HATS-62 b,56.89157,523.0670000
HATS-63 b,305.11680,623.2320000
HATS-64 b,305.11680,1080.1500000
HATS-65 b,260.93843,493.3200000
HATS-66 b,1694.03390,1477.9800000
HATS-67 b,460.85350,960.1090000
HATS-68 b,410.00070,603.9550000
HATS-69 b,183.38791,414.5370000
HATS-7 b,38.13960,240.7070000
HATS-70 b,4100.00700,1458.8300000
HATS-71 b,117.59710,140.2250000
HATS-72 b,39.85588,127.5890000
HATS-74 A b,464.02947,299.3890000
HATS-75 b,156.05375,194.9640000
HATS-76 b,835.57088,385.6890000
HATS-77 b,436.69623,436.1760000
HATS-8 b,43.86054,794.6370000
HATS-9 b,266.02371,638.7000000
HD 100546 b,239000.00000,109.6770000
HD 100655 b,511.70630,137.1780000
HD 100777 b,327.36490,49.5336000
HD 10180 c,13.10000,38.9607000
HD 10180 d,11.75000,38.9607000
HD 10180 e,25.10000,38.9607000
HD 10180 f,23.90000,38.9607000
HD 10180 g,21.40000,38.9607000
HD 10180 h,64.40000,38.9607000
HD 101930 b,79.45750,30.0274000
HD 102117 b,54.03110,39.5792000
HD 102195 b,130.31030,29.3386000
HD 102272 b,1570.08020,347.0970000
HD 102329 b,2593.49280,217.1070000
HD 102329 c,483.10160,217.1070000
HD 102365 b,16.00000,9.2894000
HD 102843 b,113.90000,62.7580000
HD 102956 b,305.11680,121.8900000
HD 103197 b,28.60470,57.1463000
HD 103720 b,197.04600,45.5352000
HD 103774 b,116.00000,56.4089000
HD 103891 b,457.67291,55.5213000
HD 103949 b,11.20000,26.4997000
HD 104067 b,50.85280,20.3632000
HD 10442 b,472.61321,135.3740000
HD 104985 b,2637.90000,100.5760000
HD 105618 b,25.14472,70.0837000
HD 105618 c,8550.26928,70.0837000
